epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,5526.34,1.4729,1.50222,2.01679,0.71681,0.72942,0.77747,0.46742,1.33584,1.23211,1.94743,0.0009506,0.0009506,0.0009506
55,5623.63,1.45537,1.47668,1.98123,0.74645,0.76601,0.81753,0.50137,1.32734,1.17285,1.90373,0.0009308,0.0009308,0.0009308
56,5721.66,1.46105,1.49608,1.97899,0.71391,0.74754,0.79524,0.47413,1.32539,1.19486,1.91554,0.000911,0.000911,0.000911
57,5818.55,1.43708,1.45849,1.96192,0.69676,0.77094,0.79005,0.46693,1.36645,1.19419,1.94148,0.0008912,0.0008912,0.0008912
58,5915.62,1.41475,1.42853,1.94393,0.69423,0.75494,0.77745,0.45594,1.33783,1.19362,1.96145,0.0008714,0.0008714,0.0008714
59,6012.94,1.44645,1.46144,1.96344,0.71241,0.78202,0.79718,0.48791,1.30658,1.13986,1.90264,0.0008516,0.0008516,0.0008516
60,6111.34,1.42516,1.42848,1.94151,0.72563,0.75493,0.80706,0.47758,1.3391,1.11118,1.92482,0.0008318,0.0008318,0.0008318
61,6210.13,1.42681,1.41618,1.94552,0.73782,0.74384,0.8009,0.48826,1.31164,1.122,1.91249,0.000812,0.000812,0.000812
62,6309.4,1.37526,1.36815,1.90616,0.75126,0.75985,0.81299,0.5057,1.27731,1.08049,1.87279,0.0007922,0.0007922,0.0007922
63,6409.87,1.40997,1.39734,1.93761,0.69332,0.76478,0.79331,0.47944,1.29273,1.17095,1.87968,0.0007724,0.0007724,0.0007724
64,6514.27,1.41091,1.41097,1.9286,0.71619,0.77463,0.8195,0.50734,1.25938,1.10157,1.84571,0.0007526,0.0007526,0.0007526
65,6615.47,1.38026,1.3959,1.90992,0.76206,0.75334,0.82019,0.51299,1.25092,1.08806,1.85268,0.0007328,0.0007328,0.0007328
66,6715.95,1.37829,1.34669,1.88987,0.76133,0.77833,0.82895,0.51063,1.29102,1.06326,1.87439,0.000713,0.000713,0.000713
67,6819.3,1.38701,1.35737,1.91597,0.75788,0.78325,0.82664,0.5355,1.22987,1.06574,1.81902,0.0006932,0.0006932,0.0006932
68,6919.42,1.34281,1.28458,1.86795,0.75809,0.81773,0.84298,0.52233,1.25047,1.01924,1.83413,0.0006734,0.0006734,0.0006734
69,7019.43,1.38021,1.3593,1.90508,0.78145,0.77463,0.84195,0.5381,1.24287,1.03592,1.82415,0.0006536,0.0006536,0.0006536
70,7119.69,1.37164,1.33411,1.90542,0.74759,0.8207,0.84833,0.54334,1.2222,1.02855,1.81716,0.0006338,0.0006338,0.0006338
71,7219.97,1.35545,1.34,1.86429,0.76373,0.81527,0.85132,0.54718,1.22102,0.98713,1.80031,0.000614,0.000614,0.000614
72,7320.09,1.35977,1.2939,1.87807,0.7897,0.81391,0.86644,0.55047,1.25379,0.97078,1.82005,0.0005942,0.0005942,0.0005942
73,7422.69,1.36733,1.29946,1.88928,0.78474,0.80665,0.8683,0.56264,1.20704,0.95704,1.79564,0.0005744,0.0005744,0.0005744
74,7521.91,1.35244,1.29743,1.8773,0.80702,0.76735,0.85801,0.55478,1.17905,0.98209,1.76177,0.0005546,0.0005546,0.0005546
75,7620.79,1.318,1.25877,1.83784,0.79517,0.80172,0.85644,0.56454,1.17248,0.95054,1.74801,0.0005348,0.0005348,0.0005348
76,7720.22,1.32538,1.24091,1.86006,0.75444,0.82389,0.86722,0.57043,1.18486,0.95548,1.77567,0.000515,0.000515,0.000515
77,7819.65,1.34439,1.27726,1.87255,0.79673,0.80129,0.86011,0.56872,1.19485,0.96225,1.76066,0.0004952,0.0004952,0.0004952
78,7918.57,1.29997,1.21968,1.83497,0.78937,0.82155,0.86687,0.57263,1.16947,0.94997,1.73576,0.0004754,0.0004754,0.0004754
79,8018.56,1.29573,1.2324,1.81616,0.80631,0.8165,0.86955,0.57505,1.17467,0.95078,1.76056,0.0004556,0.0004556,0.0004556
80,8119.04,1.29508,1.24014,1.81362,0.7791,0.81527,0.8631,0.56535,1.18258,0.92531,1.76245,0.0004358,0.0004358,0.0004358
81,8219.91,1.30384,1.23743,1.84079,0.79404,0.8202,0.8689,0.57221,1.17524,0.94276,1.76603,0.000416,0.000416,0.000416
82,8321.88,1.29139,1.23555,1.83237,0.83592,0.78571,0.87412,0.59515,1.12989,0.90019,1.71631,0.0003962,0.0003962,0.0003962
83,8422.49,1.28955,1.22345,1.8238,0.82202,0.8361,0.88285,0.59007,1.15544,0.90341,1.72324,0.0003764,0.0003764,0.0003764
84,8522.97,1.30265,1.24643,1.82864,0.79115,0.83043,0.88103,0.58003,1.15095,0.91657,1.73029,0.0003566,0.0003566,0.0003566
85,8626.5,1.28581,1.2054,1.81667,0.8125,0.8325,0.88854,0.60746,1.1161,0.87103,1.70092,0.0003368,0.0003368,0.0003368
86,8729.84,1.24729,1.16405,1.79932,0.79349,0.83374,0.87963,0.60139,1.10826,0.86702,1.69969,0.000317,0.000317,0.000317
87,8832.76,1.26427,1.17039,1.81221,0.81745,0.84975,0.89866,0.61402,1.11237,0.84977,1.69072,0.0002972,0.0002972,0.0002972
88,8936.39,1.26258,1.1822,1.80417,0.8122,0.83867,0.89381,0.60929,1.10625,0.85502,1.6951,0.0002774,0.0002774,0.0002774
89,9039.56,1.26055,1.1672,1.78458,0.8079,0.83903,0.89874,0.62085,1.09266,0.84278,1.6804,0.0002576,0.0002576,0.0002576
90,9140.47,1.24824,1.16006,1.78613,0.82698,0.83251,0.89885,0.61809,1.10293,0.83304,1.68274,0.0002378,0.0002378,0.0002378
91,9243.41,1.20735,1.12819,1.78409,0.78535,0.83357,0.87152,0.5789,1.17697,0.94006,1.73401,0.000218,0.000218,0.000218
92,9344.96,1.16275,0.97691,1.75716,0.78692,0.85961,0.88841,0.61241,1.07945,0.86777,1.67191,0.0001982,0.0001982,0.0001982
93,9445.29,1.15391,0.97292,1.72025,0.80931,0.86576,0.90349,0.62524,1.08597,0.82411,1.66402,0.0001784,0.0001784,0.0001784
94,9548.27,1.11639,0.92529,1.69041,0.80227,0.86453,0.90549,0.6279,1.06282,0.81059,1.64858,0.0001586,0.0001586,0.0001586
95,9648.24,1.15963,0.93304,1.73635,0.81294,0.87242,0.91186,0.64036,1.04791,0.79773,1.62657,0.0001388,0.0001388,0.0001388
96,9747.95,1.12278,0.91971,1.693,0.83432,0.85345,0.90981,0.63523,1.06455,0.80245,1.64027,0.000119,0.000119,0.000119
97,9848.36,1.09673,0.90775,1.65838,0.83683,0.84004,0.91633,0.64239,1.04066,0.78085,1.63315,9.92e-05,9.92e-05,9.92e-05
98,9949.46,1.11571,0.93297,1.70064,0.83839,0.86576,0.92061,0.65148,1.03981,0.77517,1.62712,7.94e-05,7.94e-05,7.94e-05
99,10050.8,1.08489,0.90256,1.67121,0.84067,0.86084,0.92305,0.65243,1.03611,0.76643,1.61837,5.96e-05,5.96e-05,5.96e-05
100,10156.4,1.10793,0.89226,1.70315,0.84673,0.86406,0.92316,0.65185,1.0329,0.76526,1.61892,3.98e-05,3.98e-05,3.98e-05
